RaceID	RaceName	BallotID	BallotName	Votes	TotalVotesByRace	PartyName	RaceJurisdictionTypeName
261	 Legislative District 11 - State Representative Pos. 2	25003	Steve Bergquist	0	0	(Prefers Democratic Party)	Legislative
261	 Legislative District 11 - State Representative Pos. 2	27056	Sarah Sanoy-Wright	0	0	(Prefers Republican Party)	Legislative
262	 Legislative District 12 - State Senator	24250	Linda Evans Parlette	0	0	(Prefers Gop Party)	Legislative
263	 Legislative District 12 - State Representative Pos. 1	26357	Cary Condotta	0	0	(Prefers Republican Party)	Legislative
263	 Legislative District 12 - State Representative Pos. 1	23006	Stan Morse	0	0	(Prefers Republican Party)	Legislative
264	 Legislative District 12 - State Representative Pos. 2	23084	Mike Armstrong	0	0	(Prefers Republican Party)	Legislative
264	 Legislative District 12 - State Representative Pos. 2	22478	Brad Hawkins	0	0	(Prefers Republican Party)	Legislative
266	 Legislative District 13 - State Representative Pos. 1	24118	Judith (Judy) Warnick	0	0	(Prefers Republican Party)	Legislative
267	 Legislative District 13 - State Representative Pos. 2	22818	Matt Manweller 	0	0	(Prefers Republican Party)	Legislative
267	 Legislative District 13 - State Representative Pos. 2	25348	Kaj Selmann	0	0	(Prefers Democratic Party)	Legislative
268	 Legislative District 14 - State Senator	23107	Curtis King	0	0	(Prefers Republican Party)	Legislative
269	 Legislative District 14 - State Representative Pos. 1	23557	Norm Johnson	0	0	(Prefers Republican Party)	Legislative
269	 Legislative District 14 - State Representative Pos. 1	26704	Paul Spencer	0	0	(Prefers Democratic Party)	Legislative
270	 Legislative District 14 - State Representative Pos. 2	24110	Charles Ross	0	0	(Prefers Republican Party)	Legislative
270	 Legislative District 14 - State Representative Pos. 2	27741	Mathew K.M. Tomaskin	0	0	(Prefers Democratic Party)	Legislative
272	 Legislative District 15 - State Representative Pos. 1	25372	Bruce Chandler	0	0	(Prefers Republican Party)	Legislative
273	 Legislative District 15 - State Representative Pos. 2	24751	David V. Taylor	0	0	(Prefers Republican Party)	Legislative
273	 Legislative District 15 - State Representative Pos. 2	26739	Pablo Gonzalez	0	0	(Prefers Democratic Party)	Legislative
274	 Legislative District 16 - State Senator	24210	Mike Hewitt	0	0	(Prefers Republican Party)	Legislative
274	 Legislative District 16 - State Senator	25627	Scott Nettles	0	0	(Prefers Democratic Party)	Legislative
275	 Legislative District 16 - State Representative Pos. 1	24271	Maureen Walsh	0	0	(Prefers Republican Party)	Legislative
